method,context,depth,needle_idx,pass,response
fp32,1280,0.1,0,0," Doctors , followed by a role in the 2007 theatre production of How to Curse directed by Josie Rouk . Boulter starred alongside Whishaw "
fp32,1280,0.1,1,0,"ion series Doctors , and appeared as a guest character in How to Curse directed by Josie Roukke . Boulter starred alongside Whishaw in the "
fp32,1280,0.1,2,0," on Doctors , a 2006 episode of the television series , and appeared in the 2007 theatre production of How to Curse directed by Josie Rourk "
fp32,1280,0.5,0,0," Doctors , followed by a role in the 2007 theatre production of How to Curse directed by Josie Rouk . Boulter starred alongside Whishaw "
fp32,1280,0.5,1,0,"ion series Doctors , and appeared as a guest character in the 2007 theatre production of How to Curse directed by Josie Roukke . Boulter "
fp32,1280,0.5,2,0," in the 2006 episode of Doctors , followed by a role as a different character on the television series Judge John Deeed . Boulter starred alongside Wh "
fp32,1280,0.9,0,0,"ary of the theatre company which produced Burn / Chatroom / Citizenship noted that Boulter 's performance in the play was "" a highlight of the production "" "
fp32,1280,0.9,1,0," the play was in May 2006 . Boulter appeared on a 2006 episode of the television series , Doctors , followed by a role in the "
fp32,1280,0.9,2,0,"ing in this episode was played by Ben Whishaw . Boulter appeared on a 2006 episode of the television series , Doctors , followed by a "
fp32,1536,0.1,0,0," Doctors , followed by a role in the 2007 theatre production of How to Curse directed by Josie Rouk . Boulter starred alongside Whishaw "
fp32,1536,0.1,1,0,"ion series Doctors , and appeared as a guest character in How to Curse directed by Josie Roukke . Boulter starred alongside Whishaw in the "
fp32,1536,0.1,2,0," on Doctors , a 2006 episode of the television series , and appeared in the 2007 theatre production of How to Curse directed by Josie Rourk "
fp32,1536,0.5,0,0," Doctors , followed by a role in the 2007 theatre production of How to Curse directed by Josie Rouk . Boulter starred alongside Whishaw "
fp32,1536,0.5,1,0,"ion series Doctors , and appeared as a guest character in the 2007 theatre production of How to Curse directed by Josie Roukke . Boulter "
fp32,1536,0.5,2,0," in the 2006 episode of Doctors , followed by a role as a different character in the 2007 theatre production of How to Curse directed by Josie "
fp32,1536,0.9,0,0," @-@ part in the 2007 theatre production of How to Curse directed by Josie Roukke , which was performed at Bush Theatre in the London "
fp32,1536,0.9,1,0," @-@ part in the 2007 theatre production of How to Curse directed by Josie Roukke , which was performed at Bush Theatre in the London "
fp32,1536,0.9,2,0," @-@ part in the 2007 theatre production of How to Curse directed by Josie Roukke , which was performed at Bush Theatre in the London "
fp32,1792,0.1,0,0," Doctors , followed by a role as a different character in the 2007 theatre production of How to Curse directed by Josie Roukk . Boulter starred "
